"Character Name","Gender","Age","Survival Ability","Level 1","Level 2","Level 3","Level 4","Level 5","Level 6","Level 7","Level 8"
"Paloma","F","28","Arms-dealing","30 AR ammo will not take up inventory space.","60 AR ammo will not take up inventory space.","90 AR ammo will not take up inventory space.","120 AR ammo will not take up inventory space."," Suit","150 AR ammo will not take up inventory space.","Bannaer","180 AR ammo will not take up inventory space."
"Kla","M","27","Muay Thai","Fist damage increased 100%","Fist damage increased 150%","Fist damage increased 200%","Fist damage increased 250%"," Suit","Fist damage increased 300%","Bannaer","Fist damage increased 400%"
"Maxim","M","17"," Gluttony","Reduces the time for eating mushrooms and using med kits by 2%","Reduces the time for eating mushrooms and using med kits by 4%","Reduces the time for eating mushrooms and using med kits by 6%","Reduces the time for eating mushrooms and using med kits by 8%"," Suit","Reduces the time for eating mushrooms and using med kits by 10%","Bannaer","Reduces the time for eating mushrooms and using med kits by 12%"
"Misha","F","19"," Afterburner","Driving speed increase 2%,vehicle damege decrease 5%","Driving speed increase 4%,vehicle damege decrease 10%","Driving speed increase 6%,vehicle damege decrease 15%","Driving speed increase 8%,vehicle damege decrease 20%"," Suit","Driving speed increase 10%,vehicle damege decrease 25%","Bannaer","Driving speed increase 12%,vehicle damege decrease 30%"
"Nikita","Unknown","22","Firearms Expert","Submachine gun reload faster by 4%","Submachine gun reload faster by 8%","Submachine gun reload faster by 12%","Submachine gun reload faster by 16%"," Suit","Submachine gun reload faster by 20%","Bannaer","Submachine gun reload faster by 24%"
"Kelly","F","17","Dash","Sprinting speed increased by 1%","Sprinting speed increased by 2%","Sprinting speed increased by 3%","Sprinting speed increased by 4%"," Suit","Sprinting speed increased by 5%","Bannaer","Sprinting speed increased by 6%"
"Olivia","F","29"," Healing Touch","Players revived by Olivia will get up with extra 6 HP","Players revived by Olivia will get up with extra 12 HP","Players revived by Olivia will get up with extra 18 HP","Players revived by Olivia will get up with extra 24 HP"," Suit","Players revived by Olivia will get up with extra 30 HP","Bannaer","Players revived by Olivia will get up with extra 36 HP"
"Ford","M","31"," Iron Will","Reduce damage when outside safe zone by 4%","Reduce damage when outside safe zone by 8%","Reduce damage when outside safe zone by 12%","Reduce damage when outside safe zone by 16%"," Suit","Reduce damage when outside safe zone by 20%","Bannaer","Reduce damage when outside safe zone by 24%"
"Alok","M","28","Drop the Beat","Create an 5m aura that increase moving and sprinting speed by10% and restore 5 HP for 5 seconds.CD 45 seconds. Effect cannot be stacked.","Create an 5m aura that increase moving and sprinting speed by10% and restore 5 HP for 6 seconds.CD 45 seconds. Effect cannot be stacked.","Create an 5m aura that increase moving and sprinting speed by10% and restore 5 HP for 7 seconds.CD 45 seconds. Effect cannot be stacked.","Create an 5m aura that increase moving and sprinting speed by10% and restore 5 HP for 8 seconds.CD 45 seconds. Effect cannot be stacked.","Summon airdrop playcard","Create an 5m aura that increase moving and sprinting speed by10% and restore 5 HP for 9 seconds.CD 45 seconds. Effect cannot be stacked.","Bannaer","Create an 5m aura that increase moving and sprinting speed by10% and restore 5 HP for 10 seconds.CD 45 seconds. Effect cannot be stacked."
"Alvaro","M","26","Art of Demolition","Explosive weapon damage increases by 6%, damage range increases by 7%","Explosive weapon damage increases by 6%, damage range increases by 7.5%","Explosive weapon damage increases by 6%, damage range increases by 8%","Explosive weapon damage increases by 6%, damage range increases by 8.5%","Summon airdrop playcard","Explosive weapon damage increases by 6%, damage range increases by 9%","Bannaer","Explosive weapon damage increases by 6%, damage range increases by 10%"
"Joseph","M","45","Nutty Movement","Movement speed increased by 10% for 1 second upon taking damage.","Movement speed increased by 12% for 1 second upon taking damage.","Movement speed increased by 14% for 1 second upon taking damage.","Movement speed increased by 16% for 1 second upon taking damage."," Suit","Movement speed increased by 18% for 1 second upon taking damage.","Bannaer","Movement speed increased by 20% for 1 second upon taking damage."
"Notora","F","27","Race's Blessing","When driving a vehicle, restore HP of all members on the vehicle by 4.5 HP every 5 s. Effects do not stack.","When driving a vehicle, restore HP of all members on the vehicle by 4 HP every 5 s. Effects do not stack.","When driving a vehicle, restore HP of all members on the vehicle by 3.5 HP every 5 s. Effects do not stack.","When driving a vehicle, restore HP of all members on the vehicle by 3 HP every 5 s. Effects do not stack.","Summon airdrop playcard","When driving a vehicle, restore HP of all members on the vehicle by 2.5 HP every 5 s. Effects do not stack.","Bannaer","When driving a vehicle, restore HP of all members on the vehicle by 2 HP every 5 s. Effects do not stack."
"Shani","F","30","Gear Recycle","Restore 10 armor durability after every kill. Extra durability can upgrade your armor, up to level 3","Restore 12 armor durability after every kill. Extra durability can upgrade your armor, up to level 3","Restore 14 armor durability after every kill. Extra durability can upgrade your armor, up to level 3","Restore 16 armor durability after every kill. Extra durability can upgrade your armor, up to level 3"," Suit","Restore 18 armor durability after every kill. Extra durability can upgrade your armor, up to level 3","Bannaer","Restore 20 armor durability after every kill. Extra durability can upgrade your armor, up to level 3"
"Steffie","F","23","Graffiti's Blessing","Create a graffiti that reduces explosive damage by 15% and bullet damage by 5% for 5 seconds. CD 45 seconds.Effects do not stack","Create a graffiti that reduces explosive damage by 15% and bullet damage by 5% for 6 seconds. CD 45 seconds.Effects do not stack","Create a graffiti that reduces explosive damage by 15% and bullet damage by 5% for 7 seconds. CD 45 seconds.Effects do not stack","Create a graffiti that reduces explosive damage by 15% and bullet damage by 5% for 8 seconds. CD 45 seconds.Effects do not stack","Summon airdrop playcard","Create a graffiti that reduces explosive damage by 15% and bullet damage by 5% for 9 seconds. CD 45 seconds.Effects do not stack","Bannaer","Create a graffiti that reduces explosive damage by 15% and bullet damage by 5% for 10 seconds. CD 45 seconds.Effects do not stack"
"Kapella","F","21","Healing Song","Increase effects of healing items by 10% and healing skills by 10%. Reduce ally HP loss when downed by 20%. Effects do not stack.","Increase effects of healing items by 10% and healing skills by 12%. Reduce ally HP loss when downed by 22%. Effects do not stack.","Increase effects of healing items by 10% and healing skills by 14%. Reduce ally HP loss when downed by 24%. Effects do not stack.","Increase effects of healing items by 10% and healing skills by 16%. Reduce ally HP loss when downed by 26%. Effects do not stack.","Summon airdrop playcard","Increase effects of healing items by 10% and healing skills by 18%. Reduce ally HP loss when downed by 28%. Effects do not stack.","Bannaer","Increase effects of healing items by 10% and healing skills by 20%. Reduce ally HP loss when downed by 30%. Effects do not stack."
"Jota","M","31","Sustained Raids","SMG or Shotgun kills will instantly restore 25 HP, cool down 5 seconds.","SMG or Shotgun kills will instantly restore 28 HP, cool down 5 seconds.","SMG or Shotgun kills will instantly restore 31 HP, cool down 5 seconds.","SMG or Shotgun kills will instantly restore 34 HP, cool down 5 seconds.","Summon airdrop playcard","SMG or Shotgun kills will instantly restore 37 HP, cool down 5 seconds.","Bannaer","SMG or Shotgun kills will instantly restore 40 HP, cool down 5 seconds."
"Clu","F","24","Tracing Steps","Locate positions of enemies within 30m who are not in prone or squat position. Lasts for 5s, CD50s. Teammates share skill effects afters level 4","Locate positions of enemies within 30m who are not in prone or squat position. Lasts for 5.5s, CD50s. Teammates share skill effects afters level 4","Locate positions of enemies within 30m who are not in prone or squat position. Lasts for 6s, CD50s. Teammates share skill effects afters level 4","Locate positions of enemies within 30m who are not in prone or squat position. Lasts for 6s, CD50s. Teammates share skill effects","Summon airdrop playcard","Locate positions of enemies within 30m who are not in prone or squat position. Lasts for 6.5s, CD50s. Teammates share skill effects","Bannaer","Locate positions of enemies within 30m who are not in prone or squat position. Lasts for 7s, CD50s. Teammates share skill effects"
"Wolfrahh","F","19","Limelight","With every additional viewer: Damage taken from headshots decreases by 3%, up to 25%. Damage to enemy's limbs increases by 3%, up to 15%","With every additional viewer: Damage taken from headshots decreases by 3.5%, up to 25%. Damage to enemy's limbs increases by 3.5%, up to 15%","With every additional viewer: Damage taken from headshots decreases by 4%, up to 25%. Damage to enemy's limbs increases by 4%, up to 15%","With every additional viewer: Damage taken from headshots decreases by 4.5%, up to 25%. Damage to enemy's limbs increases by 4.5%, up to 15%","Summon airdrop playcard","With every additional viewer: Damage taken from headshots decreases by 4.5%, up to 25%. Damage to enemy's limbs increases by 4.5%, up to 20%","Bannaer","With every additional viewer: Damage taken from headshots decreases by 5%, up to 25%. Damage to enemy's limbs increases by 5%, up to 15%"
